EXPOCODE 318MSAVE5       SECT_ID SAVE5     CRUISE DATES 012789 TO 030689         20110508CCHDOSIODM                                                                                                     *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  SALNTY  CTDOXY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  TCARBN  ALKALI    PCO2   THETA  REVPRS  REVTMP           QUALT1
                                    DBAR    DBAR  ITS-68  PSS-78  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG UMOL/KG UMOL/KG    UATM   DEG C    DBAR  ITS-68                *
                         *******                         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         ******* *******                *
     236       1      28      28   -9.00  3584.2  1.9836 34.8226 34.8210    -9.0   227.7   70.37   26.29    0.01    1.78   0.002  -9.000  2226.1  2364.9   866.2  1.6957    -9.0  -9.000 2229222222922299
     236       1      29      29   -9.00  3823.9  1.6070 34.7823 34.7820    -9.0   221.6   84.54   28.25    0.01    1.93  -9.000  -9.000  2237.6  2367.7   920.5  1.3035  3849.7   1.620 2229222229922222
     236       1      30      30   -9.00  3985.1  1.3899 34.7621 34.7620    -9.0   219.9   93.14   29.13    0.01    2.00  -9.000  -9.000  2244.2  2371.0   943.9  1.0753    -9.0  -9.000 2229222229922299
     236       1      31      31   -9.00  4188.2  1.2057 34.7441 34.7440    -9.0   218.1  102.23   30.10    0.01    2.06  -9.000  -9.000  2247.8  2372.2   961.3  0.8743    -9.0  -9.000 2229222229922299
     236       1      32      32   -9.00  4415.0  1.1094 34.7345 34.7340    -9.0   217.7  106.83   30.69    0.01    2.10   0.004   0.001  2258.7  2382.0   974.9  0.7558    -9.0  -9.000 2229222222223299
     236       1      33      33   -9.00  4619.3  1.0863 34.7310 -9.0000    -9.0   217.7  108.39   30.89    0.00    2.10  -9.000  -9.000  2249.1  2372.9   966.5  0.7103    -9.0  -9.000 2299222229922299
     236       1      34      34   -9.00  4929.0  1.0891 34.7282 34.7290    -9.0   217.7  108.10   31.08    0.00    2.12  -9.000  -9.000  2259.7  2382.1   980.9  0.6769    -9.0  -9.000 2229222229922299
     236       1      35      35   -9.00  4982.7  1.0929 34.7277 34.7270    -9.0   217.7  107.41   31.08    0.00    2.12  -9.000  -9.000  2257.1  2380.6   973.1  0.6742  4970.8   1.099 2229222229922222
     236       1      36      36   -9.00  5034.3  1.0978 34.7278 34.7290    -9.0   217.7  108.20   31.18    0.00    2.13   0.005  -9.000  2259.8  2382.1   982.0  0.6728    -9.0  -9.000 2229222222922299
     237       1       1       1   -9.00     3.4 22.4242 35.6509 -9.0000    -9.0   226.1    1.47    0.29    0.00    0.09   1.978   0.998  2041.4  2357.0   328.9 22.4235    -9.0  22.445 2299222222222292
     237       1       2       2   -9.00    22.0 21.8333 35.6469 -9.0000    -9.0   229.4    1.47    0.29    0.00    0.08  -9.000  -9.000  2037.2  2354.4   325.6 21.8290    -9.0  -9.000 2299222229922299
