EXPOCODE 33RO20071215 WHP-ID P18 CRUISE DATES 20071217 TO 20080216 20160216SIOCCHCBG                                                                                                                                                                                                  *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12     SF6    CCL4  CHLORA     DOC  TRITUM  TRITER  HELIUM  HELIER  DELHE3  DELHER  DELC13  TCARBN  ALKALI    FCO2  PH_SWS  PH_TMP                 QUALT1
                                    DBAR  ITS-90  PSS-78 UMOL/KG  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG FMOL/KG PMOL/KG   UG/KG UMOL/KG      TU      TU NMOL/KG NMOL/KG  PERCNT  PERCNT  /MILLE UMOL/KG UMOL/KG    UATM           DEG C                      *
                         *******                         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         *******         *******         ******* ******* ******* ******* *******                              *
     998       1       6   11006  2499.3  1.8478 34.6598   102.6 34.6655    -9.0  161.20   39.20   -9.00    2.68   0.006   0.007 -9.0000   0.008   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3249222222239999999999
     998       1       5   11005  2499.5  1.8475 34.6598   102.6 34.6597    -9.0  160.20   39.00   -9.00    2.67   0.009   0.010  0.0329   0.008   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229222222239999999999
     998       1       3   11003  2699.6  1.7334 34.6664   111.3 34.6677    -9.0  163.30   39.00   -9.00    2.63   0.009   0.011  0.0306   0.008   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229666222239999999999
     998       1       4   11004  2699.8  1.7334 34.6664   111.3 34.6678   112.9  163.30   38.80   -9.00    2.63   0.010   0.011 -9.0000   0.008   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3222666222239999999999
     998       1       1   11001  2919.4  1.6498 34.6711   117.4 34.6731   116.9  165.60   38.40   -9.00    2.58   0.016   0.017  0.0501   0.009   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3222222266639999999999
     998       1       2   11002  2919.7  1.6501 34.6711   117.4 34.6729    -9.0  165.20   38.40   -9.00    2.59   0.012   0.013 -9.0000   0.010   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 3229666222239999999999
     998       1      16   11016  2926.3  1.6535 34.6712   117.5 34.6740   117.7  165.40   38.20   -9.00    2.57   0.009   0.013  0.0500   0.007   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2222222222239999999999
       1       1      13   11013    11.0 23.6203 34.9908   208.2 35.0009    -9.0   -9.00   -9.00   -9.00   -9.00   1.813   1.153  1.1175  -9.000    0.80   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 2229999966692999999999
       1       1      12   11012    11.0 23.6238 34.9898   208.5 34.9985   207.9    2.90    0.40    0.09    0.50  -9.000  -9.000 -9.0000  -9.000   -9.00   78.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2043.4  2324.7   350.8  8.0069   25.00 2222222299999299992222
       1       1      11   11010    20.3 23.5643 35.0190   202.6 35.0289   204.0    3.40    0.70    0.18    0.56  -9.000  -9.000 -9.0000  -9.000    0.74   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2050.7  2330.1   359.1  8.0279   25.00 2222222299992999992262
       1       1      10   11011    39.7 22.8267 35.0909   206.1 35.0987   207.3    3.40    0.70    0.14    0.67  -9.000  -9.000 -9.0000  -9.000    0.43   76.40  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2065.8  2342.3    -9.0  8.0095   25.00 2222222299992299992292
       1       1       9   11009    59.3 21.7629 34.9861   162.2 34.9865   148.7   10.60    7.30    0.31    1.15   1.814   1.138  1.0596  -9.000    0.22   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2123.4  2333.6   532.4  7.8046   25.00 2222222222292999992222
       1       1       8   11008    79.6 17.3684 34.8195    73.9 34.7831    72.8   21.80   18.10    0.05    1.96  -9.000  -9.000 -9.0000  -9.000    0.05   59.40  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2212.5  2314.8    -9.0  7.6187   25.00 2222222299992299992292
       1       1       7   11007   100.3 15.9654 34.7541    57.0 34.7518    57.8   25.00   20.70    0.05    2.16   1.670   1.019  0.8082  -9.000    0.02   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2228.8  2310.9  1186.4  7.5577   25.00 2222222222292999992222
       1       1       6   11006   125.0 14.3718 34.7207    37.2 34.7178    37.4   29.00   23.60    0.05    2.38  -9.000  -9.000 -9.0000  -9.000    0.01   53.80  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2247.4  2304.1  1413.3  7.5005   25.00 2222222299992299992222
       1       1       5   11005   150.4 13.3670 34.7041    22.1 34.7123    19.5   32.00   24.70    0.04    2.50   1.172   0.703  0.4463  -9.000    0.01   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2260.6  2305.7  1568.1  7.4425   25.00 2222222222292999992222
       1       1       4   11004   175.0 12.6627 34.7277    12.8 34.7271    13.6   34.00   25.20    0.04    2.56  -9.000  -9.000 -9.0000  -9.000    0.01   50.70  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2267.3  2307.5  1643.4  7.4307   25.00 2222666299992299992222
       1       1       3   11003   200.3 12.2537 34.7086    10.4 34.7103    10.1   34.50   25.30    0.03    2.57   0.847   0.507  0.2847  -9.000   -9.00   49.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2268.5  2305.3  1639.7  7.4214   25.00 2222666222292299992222
       1       1       2   11002   225.3 11.8902 34.6945     8.6 34.6942     8.4   35.70   25.50    0.03    2.59  -9.000  -9.000 -9.0000  -9.000    0.01   49.50  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2271.8  2304.8    -9.0  7.4085   25.00 2222666299992299992292
       1       1       1   11001   259.4 11.1160 34.6659     6.0 34.6689     6.2   38.20   26.10    0.03    2.63   0.545   0.325  0.1634  -9.000   -9.00   50.60  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2277.2  2327.0  1749.0  7.4010   25.00 2222222222299299996222
       2       1      14   11014    10.4 23.1106 35.0769   211.1 35.0909   212.2    3.00    0.50    0.09    0.55   1.844   1.165  1.1572  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2056.9  2342.7   362.2  8.0054   25.00 2222222222299999992222
       2       1      13   11013    24.9 22.9109 35.1222   209.1 35.1258   209.5    3.40    0.80    0.13    0.62  -9.000  -9.000 -9.0000  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2065.8  2349.7   371.2  7.9740   25.00 2222222299999999992262
       2       1      12   11012    48.3 22.7793 35.1481   202.3 35.1576   203.7    3.90    1.10    0.18    0.70   1.845   1.171  1.0707  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2076.4  2353.5   387.5  7.9822   25.00 2222222266699999992222
       2       1      11   11010    93.5 15.9035 34.8113    55.1 34.7918    55.6   26.50   21.70    0.04    2.20  -9.000  -9.000 -9.0000  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2236.6  2319.5  1234.0  7.5454   25.00 2222222299999999992222
       2       1      10   11011   149.7 12.8993 34.6495    17.7 34.6516    17.5   30.90   25.40    0.02    2.44   1.256   0.731  0.4261  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2255.9  2297.7  1622.3  7.4366   25.00 2222222222299999992222
       2       1       9   11009   200.6 12.1179 34.7445     9.4 34.7469    10.6   37.10   25.90    0.02    2.58  -9.000  -9.000 -9.0000  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2274.5  2297.6  1703.6  7.4175   25.00 2222222299999999992232
       2       1       8   11008   249.7 11.4251 34.7192     8.1 34.7170     8.8   40.70   26.20    0.02    2.66   0.602   0.362  0.2505  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2281.9  2312.8    -9.0  7.3991   25.00 2222222222299999992492
       2       1       7   11007   324.5 10.3173 34.6376     4.3 34.6373     5.5   42.40   26.70    0.02    2.70  -9.000  -9.000 -9.0000  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2286.0  2308.6  1886.0  7.3832   25.00 2222222299999999992222
       2       1       6   11006   400.5  9.3418 34.5907     3.9 34.5918     4.0   49.70   29.10    0.02    2.83   0.211   0.124  0.0827  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2295.3  2313.5    -9.0  7.3649   25.00 2222222222299999992292
       2       1       5   11005   501.2  8.0146 34.5385     3.9 34.5373     3.2   61.20   33.00    0.02    2.96   0.096   0.056  0.0352  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2308.6  2324.8    -9.0  7.3535   25.00 2222222222299999992292
       2       1       4   11004   600.2  6.8157 34.5149     3.9 34.5153     4.6   74.30   36.70    0.02    3.10   0.048   0.027  0.0211  -9.000   -9.00   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0  2323.9  2336.0  2087.4  7.3370   25.00 2222666222299999996222
