EXPOCODE 316N138_9   WHP-ID P16A/P17A     CRUISE DATES 080791 TO 112492    20030310WHPOSIODM                                                                                                                                                                                                   *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  DELHE3  HELIUM  TRITER  DELHER  TRITUM  TCARBN    PCO2  HELIER    NEON  NEONER PCO2TMP  DELC14  C14ERR  DELC13              QUALT1              QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG  PERCNT NMOL/KG      TU  PERCNT      TU UMOL/KG    UATM NMOL/KG NMOL/KG NMOL/KG   DEG_C  /MILLE  /MILLE  /MILLE                                       *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                 ******* ******* *******         *******                 *******         *******                                       *
       1       1      18      18  1014.5  4.0036 34.4523   149.5  3.9268 34.4513   153.2   60.55   34.55    0.00    2.41   0.007   0.009 -999.00 -9.0000  -9.000   -9.00  -9.000  2242.8  1158.7 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       1       1      19      19  1140.4  3.5736 34.5010   146.9  3.4899 34.4977   149.0   73.42   34.98    0.00    2.45   0.004   0.004 -999.00 -9.0000  -9.000   -9.00  -9.000  2252.1  1176.4 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222399922999 2222222222399922999
       1       1      20      20  1317.6  3.0377 34.5441   147.3  2.9445 34.5434   149.3   88.46   35.24    0.00    2.45   0.003   0.002 -999.00 -9.0000  -9.000   -9.00  -9.000  2266.1  1183.6 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222226699922999 2222222226699922999
       1       1      21      21  1519.8  2.7007 34.5780   148.7  2.5947 34.5783   148.6   99.21   35.29    0.00    2.46  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2276.3  1191.5 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       1       1      22      22  1721.7  2.4362 34.6038   150.1  2.3169 34.6040   149.1  107.83   35.33    0.00    2.47   0.003   0.007 -999.00 -9.0000  -9.000   -9.00  -9.000  2289.8  1185.3 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222299922999 2222222222299922999
       1       1      23      23  1923.6  2.2586 34.6215   151.4  2.1247 34.6221   149.7  112.60   35.26    0.00    2.48  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2295.6  1184.8 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       1       1      24      24  2127.5  2.0892 34.6383   151.8  1.9405 34.6389   150.5  118.59   35.31    0.00    2.47   0.003  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2301.5  1182.3 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222599922999 2222222222599922999
       1       1      25      25  2330.8  1.9866 34.6470   152.1  1.8218 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000    -9.0    -9.0 -9.0000  -9.000  -9.000    -9.0  -999.0  -999.0   -9.00 9229999995599999999 9229999995599999999
       1       1      26      26  2534.9  1.8915 34.6563   152.5  1.7101 34.6574   153.3  124.35   35.24    0.00    2.47  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2306.8  1169.4 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
       1       1      27      27  2738.4  1.8226 34.6625   156.6  1.6237 34.6625   155.5  126.00   35.12    0.00    2.45   0.007  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2305.3  1163.9 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222222599922999 2222222222599922999
       1       1      28      28  2941.7  1.7322 34.6698   159.6  1.5160 34.6701   158.6  126.94   34.89    0.00    2.44  -9.000  -9.000 -999.00 -9.0000  -9.000   -9.00  -9.000  2305.0  1156.3 -9.0000  -9.000  -9.000    20.0  -999.0  -999.0   -9.00 2222222225599922999 2222222225599922999
