EXPOCODE 316N138_9  WHP-ID P16A/P17A  DATES 100692-112592              20020417WHPOSIOSA                *
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  NITRAT  NITRIT  SILCAT  PHSPHT  DELC14  C14ERR   QUALT1
			    DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG  /MILLE  /MILLE        *                     
                 *******                 ******* ******* ******* ******* ******* *******                *
      95       1      82  3022.6  1.7200 34.6810   -9.00   -9.00  124.40   -9.00  -999.0    -9.0  2255255
      95       1      43  3276.3  1.6400 34.6900   -9.00   -9.00  123.40   -9.00  -999.0    -9.0  2255259
      95       1      83  3276.8  1.6400 34.6910   -9.00   -9.00  123.30   -9.00  -203.3     4.0  2255252
      95       1      44  3527.6  1.5500 34.6980   -9.00   -9.00  121.40   -9.00  -999.0    -9.0  2255259
      95       1      84  3528.1  1.5500 34.6980   -9.00   -9.00  121.30   -9.00  -999.0    -9.0  2255255
      95       1      45  3779.8  1.7500 34.7010   -9.00   -9.00  120.50   -9.00  -999.0    -9.0  4355259
      95       1      85  3780.3  1.7500 34.7040   -9.00   -9.00  119.60   -9.00  -187.0     4.0  2255252
      95       1      46  4029.9  1.3500 34.7100   -9.00   -9.00  118.70   -9.00  -999.0    -9.0  2255259
      95       1      87  4030.4  1.3500 34.7090   -9.00   -9.00  118.70   -9.00  -999.0    -9.0  2255255
      95       1      47  4278.6  1.2700 34.7110   -9.00   -9.00  119.00   -9.00  -999.0    -9.0  2255259
      95       1      89  4279.1  1.2700 34.7120   -9.00   -9.00  119.00   -9.00  -179.4     4.0  2255252
      95       1      48  4524.8  1.2000 34.7110   -9.00   -9.00  120.20   -9.00  -999.0    -9.0  2255259
      95       1      90  4525.3  1.2000 34.7110   -9.00   -9.00  120.00   -9.00  -173.4     4.0  2255252
      95       1      49  4770.4  1.1900 34.7110   -9.00   -9.00  120.60   -9.00  -999.0    -9.0  2255259
      95       1      93  4770.9  1.1900 34.7110   -9.00   -9.00  120.50   -9.00  -999.0    -9.0  2255255
     105       4      41  1357.1  3.0700 34.4300   -9.00   -9.00   59.50   -9.00  -999.0    -9.0  2255259
     105       4      81  1357.6  3.0700 34.4290   -9.00   -9.00   59.10   -9.00  -999.0    -9.0  2255255
     105       4      42  1558.2  2.6700 34.5250   -9.00   -9.00   74.70   -9.00  -999.0    -9.0  2255259
     105       4      82  1558.7  2.6700 34.5250   -9.00   -9.00   74.70   -9.00  -999.0    -9.0  2255255
     105       4      43  1759.4  2.4600 34.5940   -9.00   -9.00   90.10   -9.00  -999.0    -9.0  2255259
     105       4      83  1759.9  2.4600 34.5950   -9.00   -9.00   90.10   -9.00  -176.1     4.0  2255252
     105       4      44  1960.9  2.2600 34.6340   -9.00   -9.00  103.20   -9.00  -999.0    -9.0  2255259
     105       4      84  1961.4  2.2600 34.6340   -9.00   -9.00  103.00   -9.00  -195.9     4.0  2255252
     105       4      45  2162.7  2.1000 34.6490   -9.00   -9.00  113.30   -9.00  -999.0    -9.0  2255259
     105       4      85  2163.2  2.1000 34.6500   -9.00   -9.00  113.10   -9.00  -210.4     4.0  2255252
     105       4      46  2364.7  1.9800 34.6580   -9.00   -9.00  119.70   -9.00  -999.0    -9.0  2255259
     105       4      87  2365.2  1.9800 34.6580   -9.00   -9.00  119.70   -9.00  -216.4     4.0  2255252
     105       4      47  2566.2  1.8900 -9.0000   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2555559
     105       4      89  2566.7  1.8900 34.6670   -9.00   -9.00  123.70   -9.00  -999.0    -9.0  2255255
     105       4      48  2769.0  1.8000 34.6740   -9.00   -9.00  124.60   -9.00  -999.0    -9.0  2255259
     105       4      90  2769.5  1.8000 34.6740   -9.00   -9.00  124.60   -9.00  -999.0    -9.0  2255255
     105       4      49  2972.4  1.7200 34.6820   -9.00   -9.00  124.60   -9.00  -999.0    -9.0  2255259
     105       4      93  2972.9  1.7200 34.6820   -9.00   -9.00  124.60   -9.00  -999.0    -9.0  2255255
     105       1      41  3146.3  1.6800 34.6920   -9.00   -9.00  123.00   -9.00  -999.0    -9.0  2255259
     105       1      81  3146.8  1.6800 34.6910   -9.00   -9.00  123.20   -9.00  -999.0    -9.0  2255255
     105       1      42  3403.5  1.5500 34.7000   -9.00   -9.00  121.20   -9.00  -999.0    -9.0  2255259
     105       1      82  3404.0  1.5500 34.6990   -9.00   -9.00  121.20   -9.00  -193.9     4.0  2255252
     105       1      43  3660.1 -9.0000 34.7050   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255559
     105       1      83  3660.6 -9.0000 34.7040   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255555
     105       1      44  3915.8  1.3300 34.7070   -9.00   -9.00  119.70   -9.00  -999.0    -9.0  2255259
     105       1      84  3916.3  1.3300 34.7070   -9.00   -9.00  119.70   -9.00  -196.4     4.0  2255252
     105       1      45  4170.5  1.2600 34.7090   -9.00   -9.00  120.10   -9.00  -999.0    -9.0  2255259
     105       1      85  4171.0  1.2600 34.7080   -9.00   -9.00  120.40   -9.00  -183.2     4.0  2255252
     105       2      46  4390.8  1.2400 34.7090   -9.00   -9.00  119.50   -9.00  -999.0    -9.0  2255259
     105       2      81  4391.3  1.2400 34.7090   -9.00   -9.00  119.50   -9.00  -179.0     4.0  2255252
     105       2      47  4659.8  1.2500 34.7100   -9.00   -9.00  119.90   -9.00  -999.0    -9.0  2255259
     105       2      82  4660.3  1.2500 34.7110   -9.00   -9.00  119.70   -9.00  -999.0    -9.0  2255255
     105       2      48  4920.4 -9.0000 34.2460   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255559
     105       2      83  4920.9 -9.0000 34.7110   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255555
     105       2      49  5172.5  1.2800 34.7180   -9.00   -9.00  119.40   -9.00  -999.0    -9.0  2255259
     105       2      84  5173.0  1.2800 34.7110   -9.00   -9.00  119.50   -9.00  -999.0    -9.0  2255255
     113       3      41  1505.2  2.7900 34.5160   -9.00   -9.00   75.40   -9.00  -999.0    -9.0  2255259
     113       3      81  1505.7  2.7900 34.5160   -9.00   -9.00   75.40   -9.00  -999.0    -9.0  2255255
     113       3      42  1656.8  2.5300 34.5720   -9.00   -9.00   89.30   -9.00  -999.0    -9.0  2255259
     113       3      82  1657.3  2.5300 34.5720   -9.00   -9.00   89.40   -9.00  -182.8     4.0  2255252
     113       3      43  1808.4  2.3800 34.5990   -9.00   -9.00   98.20   -9.00  -999.0    -9.0  2255259
     113       3      83  1808.9  2.3800 34.6030   -9.00   -9.00   98.40   -9.00  -183.7     4.0  2255252
     113       3      44  1960.0  2.2700 34.6230   -9.00   -9.00  107.10   -9.00  -999.0    -9.0  2255259
     113       3      84  1960.5  2.2700 34.6240   -9.00   -9.00  107.10   -9.00  -203.8     4.0  2255252
     113       3      45  2111.6  2.1300 34.6380   -9.00   -9.00  113.50   -9.00  -999.0    -9.0  2255259
     113       3      85  2112.1  2.1300 34.6380   -9.00   -9.00  113.30   -9.00  -205.8     4.0  2255252
     113       3      46  2263.3  2.0400 34.6470   -9.00   -9.00  117.70   -9.00  -999.0    -9.0  2255259
     113       3      87  2263.8  2.0400 34.6480   -9.00   -9.00  117.70   -9.00  -214.9     4.0  2255252
     113       3      47  2414.8  1.9600 34.6560   -9.00   -9.00  121.90   -9.00  -999.0    -9.0  2255259
     113       3      89  2415.3  1.9600 34.6580   -9.00   -9.00  121.90   -9.00  -999.0    -9.0  2255255
     113       3      48  2566.3  1.8700 34.6610   -9.00   -9.00  124.30   -9.00  -999.0    -9.0  2255259
     113       3      90  2566.8  1.8700 34.6620   -9.00   -9.00  124.40   -9.00  -999.0    -9.0  2255255
     113       3      49  2717.7  1.8000 34.6660   -9.00   -9.00  125.90   -9.00  -999.0    -9.0  2255259
     113       3      93  2718.2  1.8000 34.6670   -9.00   -9.00  126.00   -9.00  -215.4     4.0  2255252
     113       1      41  2933.9  1.7300 34.6720   -9.00   -9.00  127.40   -9.00  -999.0    -9.0  2255259
     113       1      81  2934.4  1.7300 34.6730   -9.00   -9.00  127.40   -9.00  -194.7     4.0  2255252
     113       1      42  3163.8  1.6500 34.6790   -9.00   -9.00  127.40   -9.00  -999.0    -9.0  2255259
     113       1      82  3164.3  1.6500 34.6800   -9.00   -9.00  127.40   -9.00  -999.0    -9.0  2255255
     113       1      43  3391.7 -9.0000 -9.0000   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2555559
     113       1      83  3392.2 -9.0000 34.6860   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255555
     113       1      44  3620.8  1.5100 34.6920   -9.00   -9.00  124.20   -9.00  -999.0    -9.0  2255259
     113       1      84  3621.3  1.5100 34.6930   -9.00   -9.00  124.40   -9.00  -999.0    -9.0  2255255
     113       1      45  3848.8  1.4000 34.6620   -9.00   -9.00  124.40   -9.00  -999.0    -9.0  4455459
     113       1      85  3849.3  1.4000 34.7000   -9.00   -9.00  122.20   -9.00  -999.0    -9.0  2255255
     113       1      46  4076.8  1.3100 34.7050   -9.00   -9.00  120.40   -9.00  -999.0    -9.0  2255259
     113       1      87  4077.3  1.3100 34.7060   -9.00   -9.00  120.60   -9.00  -179.4     4.0  2255252
     113       1      47  4305.8  1.2800 34.7070   -9.00   -9.00  120.40   -9.00  -999.0    -9.0  2255259
     113       1      89  4306.3  1.2800 34.7080   -9.00   -9.00  120.20   -9.00  -999.0    -9.0  2255255
     113       1      48  4534.5  1.2700 34.7080   -9.00   -9.00  120.20   -9.00  -999.0    -9.0  2255259
     113       1      90  4535.0  1.2700 34.7090   -9.00   -9.00  120.20   -9.00  -999.0    -9.0  2255255
     113       1      49  4763.0  1.2900 34.7090   -9.00   -9.00  120.20   -9.00  -999.0    -9.0  2255259
     113       1      93  4763.5  1.2900 34.7090   -9.00   -9.00  120.20   -9.00  -999.0    -9.0  2255255
     119       1      46  1898.9  2.2200 34.6200   -9.00   -9.00  105.60   -9.00  -999.0    -9.0  2255259
     119       1      81  1899.4  2.2200 34.6190   -9.00   -9.00  105.80   -9.00  -999.0    -9.0  2255255
     119       1      42  2105.6  2.0500 34.6390   -9.00   -9.00  113.40   -9.00  -999.0    -9.0  2255259
     119       1      82  2106.1  2.0500 34.6390   -9.00   -9.00  113.60   -9.00  -206.3     4.0  2255252
     119       1      43  2309.2  1.9200 34.6520   -9.00   -9.00  119.40   -9.00  -999.0    -9.0  2255259
     119       1      83  2309.7  1.9200 34.6520   -9.00   -9.00  119.40   -9.00  -213.6     4.0  2255252
     119       1      44  2513.3  1.8500 34.6610   -9.00   -9.00  121.90   -9.00  -999.0    -9.0  2255259
     119       1      84  2513.8  1.8500 34.6590   -9.00   -9.00  122.10   -9.00  -212.3     4.0  2255252
     119       1      45  2715.3  1.7500 34.6680   -9.00   -9.00  123.80   -9.00  -999.0    -9.0  2255259
     119       1      85  2715.8  1.7500 34.6670   -9.00   -9.00  123.80   -9.00  -213.5     4.0  2255252
