EXPOCODE 316N138_9  WHP-ID P16A/P17A  DATES 100692-112592              20020417WHPOSIOSA                *
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  NITRAT  NITRIT  SILCAT  PHSPHT  DELC14  C14ERR   QUALT1
			    DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG  /MILLE  /MILLE        *                     
                 *******                 ******* ******* ******* ******* ******* *******                *
      43       1      42  2026.0  1.2200 34.7280   31.40    0.00  109.30    2.22  -999.0    -9.0  2222229
      43       1      82  2026.5  1.2200 34.7270   31.30    0.00  109.40    2.22  -155.6     4.0  2222222
      43       1      43  2175.3  1.1400 34.7240   31.50    0.00  112.00    2.22  -999.0    -9.0  2222229
      43       1      83  2175.8  1.1400 34.7240   31.50    0.00  112.00    2.22  -167.9     4.0  2222222
      43       1      44  2323.3  1.0500 34.7200   31.60    0.00  114.20    2.23  -999.0    -9.0  2222229
      43       1      84  2323.8  1.0500 34.7210   31.60    0.00  114.90    2.23  -163.1     4.0  2222222
      43       1      45  2472.8 -9.0000 34.6150   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2455559
      43       1      85  2473.3 -9.0000 34.7150   -9.00   -9.00   -9.00   -9.00  -164.4     4.0  2255552
      43       1      46  2621.0  0.9000 34.7130   31.90    0.00  120.60    2.23  -999.0    -9.0  2222229
      43       1      87  2621.5  0.9000 34.7130   31.90    0.00  120.80    2.25  -999.0    -9.0  2222225
      43       1      47  2768.8  0.8200 34.7090   32.10    0.00  127.10    2.25  -999.0    -9.0  2222229
      43       1      89  2769.3  0.8200 34.7100   32.10    0.00  127.40    2.25  -161.0     4.0  2222222
      43       1      48  2916.2  0.7900 34.7070   32.20    0.00  130.50    2.25  -999.0    -9.0  2222229
      43       1      90  2916.7  0.7900 34.7080   32.20    0.00  130.70    2.24  -167.6     4.0  2222222
      43       1      49  3062.2  0.8000 34.7070   32.20    0.00  130.70    2.24  -999.0    -9.0  2222229
      43       1      93  3062.7  0.8000 34.7070   32.30    0.00  130.80    2.23  -160.6     4.0  2222222
      48       1      41  1622.5  0.6900 34.7080   32.10    0.01  124.40    2.24  -999.0    -9.0  2222229
      48       1      81  1623.0  0.6900 34.7080   32.10    0.01  124.60    2.26  -158.1     4.0  2222222
      48       1      42  1774.9  0.6500 34.7070   32.20    0.01  127.00    2.25  -999.0    -9.0  2222229
      48       1      82  1775.4  0.6500 34.7060   32.10    0.00  127.40    2.26  -163.4     4.0  2222222
      48       1      43  1927.0  0.6400 34.7050   32.30    0.00  128.60    2.24  -999.0    -9.0  2222229
      48       1      83  1927.5  0.6400 34.7050   32.20    0.00  128.30    2.28  -161.3     4.0  2222232
      48       1      44  2078.7  0.6000 34.7040   32.30    0.00  128.90    2.26  -999.0    -9.0  2222229
      48       1      84  2079.2  0.6000 34.7040   32.30    0.00  128.30    2.24  -159.3     4.0  2222222
      48       1      45  2229.9 -9.0000 34.7040   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2355559
      48       1      85  2230.4 -9.0000 34.7020   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2255555
      48       1      46  2380.7  0.4500 34.7010   32.30    0.00  127.50    2.26  -999.0    -9.0  2222229
      48       1      87  2381.2  0.4500 34.7010   32.30    0.00  127.10    2.28  -159.3     4.0  2222232
      48       1      47  2530.7  0.3900 34.7000   32.40    0.00  127.60    2.25  -999.0    -9.0  2222229
      48       1      89  2531.2  0.3900 34.7000   32.30    0.00  127.40    2.25  -155.5     4.0  2222222
      48       1      48  2680.1 -9.0000 -9.0000   -9.00   -9.00   -9.00   -9.00  -999.0    -9.0  2555559
      48       1      90  2680.6 -9.0000 34.6990   -9.00   -9.00   -9.00   -9.00  -163.5     4.0  2255553
      48       1      49  2828.6  0.2900 34.6990   32.50    0.00  127.80    2.25  -999.0    -9.0  2222229
      48       1      93  2829.1  0.2900 34.6990   32.40    0.00  127.60    2.25  -158.2     4.0  2222222
      56       3      41  1411.2  1.1600 34.7250   -9.00   -9.00  110.40   -9.00  -999.0    -9.0  2255259
      56       3      81  1411.7  1.1600 34.7250   -9.00   -9.00  110.60   -9.00  -164.6     4.0  2255252
      56       3      42  1612.4  1.0100 34.7200   -9.00   -9.00  114.80   -9.00  -999.0    -9.0  2255259
      56       3      82  1612.9  1.0100 34.7200   -9.00   -9.00  114.80   -9.00  -159.9     4.0  2255252
      56       3      43  1813.7  0.9100 34.7160   -9.00   -9.00  118.50   -9.00  -999.0    -9.0  2255259
      56       3      83  1814.2  0.9100 34.7160   -9.00   -9.00  118.40   -9.00  -165.9     4.0  2255252
      56       3      44  2015.2  0.8300 34.7110   -9.00   -9.00  122.10   -9.00  -999.0    -9.0  2255259
      56       3      84  2015.7  0.8300 34.7110   -9.00   -9.00  122.30   -9.00  -163.6     4.0  2255252
      56       3      45  2217.0  0.7200 34.7090   -9.00   -9.00  125.70   -9.00  -999.0    -9.0  2255259
      56       3      85  2217.5  0.7200 34.7080   -9.00   -9.00  125.50   -9.00  -150.5     4.0  2255253
      56       3      46  2419.1  0.6800 34.7060   -9.00   -9.00  127.50   -9.00  -999.0    -9.0  2255259
      56       3      87  2419.6  0.6800 34.7060   -9.00   -9.00  127.50   -9.00  -160.5     4.0  2255252
