EXPOCODE 33RR20050106 WHP-ID P16S CRUISE DATES 20050110 TO 20050211 20150511SIOCCHCBG                                                                                                                                                                       *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  CFC113     DOC  TRITUM  TRITER  HELIUM  HELIER  DELHE3  DELHER  DELC14  C14ERR  DELC13  TCARBN  ALKALI               QUALT1
                                    DBAR  ITS-90  PSS-78 UMOL/KG  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG PMOL/KG UMOL/KG      TU      TU NMOL/KG NMOL/KG  PERCNT  PERCNT  /MILLE  /MILLE  /MILLE UMOL/KG UMOL/KG                    *
                         *******                 ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         *******         *******         *******         ******* ******* *******                    *
       1       3      17      17  1310.0  2.9915 34.5708    -9.0 34.5714   142.0   93.60   36.22   -9.00    2.54   0.006   0.012  -0.002   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2284.0  2360.4 22522222223299999922
       1       3      16      16  1410.5  2.8007 34.5832    -9.0 34.5829   143.9   97.90   36.23   -9.00    2.53   0.005   0.025  -0.003   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2288.2  2364.5 22522222223299999922
       1       3      14      14  1511.4  2.6164 34.5971    -9.0 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000   37.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0    -9.0 22599999999929999999
       1       3      15      15  1511.4  2.6192 34.5970    -9.0 34.5947   144.8  102.62   36.23   -9.00    2.53   0.002   0.028  -0.004   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2290.4  2372.9 22522222223299999922
       1       3      13      13  1612.0  2.4888 34.6068    -9.0 34.6049   146.1  106.30   36.29   -9.00    2.53  -9.000   0.012  -0.004   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2293.4  2372.6 22522222223299999923
       1       3      12      12  1712.7  2.3640 34.6158    -9.0 34.6140   148.1  109.31   36.24   -9.00    2.52   0.001   0.040  -0.005   37.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2296.6  2376.5 22522222223229999922
       1       3      11      11  1814.0  2.2708 34.6240    -9.0 34.6234   148.8  111.89   36.25   -9.00    2.52  -0.003   0.016  -0.006   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2299.0  2381.2 22522222223299999922
       1       3      10      10  2015.8  2.1155 34.6375    -9.0 34.6359   150.6  115.99   36.19   -9.00    2.52  -0.001   0.007  -0.007   36.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2303.6  2385.5 22522222222229999922
       1       3       9       9  2268.3  1.9404 34.6535    -9.0 34.6514   152.5  121.60   36.08   -9.00    2.50  -0.002   0.007  -0.007   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2308.1  2392.2 22522222222299999922
       1       3       8       8  2521.5  1.8212 34.6644    -9.0 34.6628   154.8  125.28   35.98   -9.00    2.49  -0.005   0.008  -0.008   38.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2309.6  2393.8 22522222222229999922
       1       3       7       7  2774.7  1.7358 34.6699    -9.0 34.6701   160.2  125.06   35.65   -9.00    2.50   0.003   0.017  -0.008   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2305.9  2393.1 22522222263699999922
       1       3       6       6  3028.6  1.6578 34.6761    -9.0 34.6748   164.8  125.50   35.38   -9.00    2.52  -0.004   0.008  -0.008   38.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2305.6  2390.9 22522222222229999922
       1       3       5       5  3282.3  1.5531 34.6840    -9.0 34.6819   170.8  124.84   34.94   -9.00    2.45  -0.004   0.008  -0.008   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2301.9  2390.3 22522222222299999922
       1       3       4       4  3536.3  1.4888 34.6893    -9.0 34.6897   175.8  123.95   34.67   -9.00    2.38  -0.006   0.015  -0.008   37.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2299.1  2385.7 22522222223229999922
       1       3       3       3  3791.0  1.4751 34.6918    -9.0 34.6909   178.0  123.52   34.45   -9.00    2.37  -0.004  -0.007  -0.008   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2292.1  2385.0 22522222222299999922
       1       3       2       2  4046.0  1.4717 34.6936    -9.0 34.6933   179.7  123.52   34.40   -9.00    2.39  -0.002   0.016  -0.007   38.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2289.9  2384.7 22522222223229999922
       1       3       1       1  4326.2  1.4344 34.6967    -9.0 34.6958   184.1  123.07   34.18   -9.00    2.38   0.002   0.019  -0.007   39.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2287.2  2384.2 22522222223229999966
       2       1      36      36     2.6 28.6125 36.1337   214.9 36.1320   195.5    0.64   -9.00   -9.00    0.19   1.540   0.976   0.158   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2013.7  2373.4 22422222222299999926
       2       1      35      35     2.7 28.6105 36.1336   214.9 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000   71.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0    -9.0    -9.0 32499999999929999999
       2       1      34      34    40.6 26.2874 36.0994   224.5 36.0862   225.1    0.43   -9.00   -9.00    0.15  -9.000  -9.000  -9.000   73.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2015.1  2368.6 22423222255529999962
       2       1      33      33    75.5 25.2647 35.9741   216.0 35.9743   208.3    0.43   -9.00   -9.00    0.15  -9.000  -9.000  -9.000   68.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2013.3  2359.0 22422222244429999922
       2       1      32      32   125.3 24.6743 36.0190   205.7 36.0175   197.1    0.43   -9.00   -9.00    0.19  -9.000  -9.000  -9.000   62.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2030.4  2365.8 22422222244429999922
       2       1      31      31   175.4 22.4451 35.9641   184.1 35.9645   176.5    0.64    2.02    0.06    0.36   2.063   1.229   0.131   55.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2072.0  2361.3 22422222222229999922
       2       1      30      30   225.3 20.3265 35.7699   163.2 35.7692   175.3    0.64    3.72    0.01    0.45   2.208   1.285   0.038   50.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2086.9  2348.5 22422222222229999922
       2       1      29      29   275.4 17.5426 35.4064   165.0 35.3953   176.9    1.47    6.11   -9.00    0.61   2.318   1.316   0.054   47.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2095.1  2323.8 22422222222229999922
       2       1      28      28   325.5 14.1972 34.9874   166.8 34.9855   169.5    3.77   11.18   -9.00    0.96   2.664   1.109  -9.000   44.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2114.4  2301.2 22422222232229999922
       2       1      27      27   375.5 11.7826 34.7480   157.6 34.7244   156.8    7.75   17.67   -9.00    1.39  -9.000  -9.000  -9.000   43.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2145.1  2288.9 22422222244429999922
       2       1      26      26   425.6  9.7226 34.5752   145.0 34.5749   141.5   12.36   23.22   -9.00    1.77   1.241   0.658   0.011   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2171.2  2285.0 22422222222299999922
       2       1      25      25   475.7  8.3932 34.4986   136.4 34.4963   136.0   17.19   27.28   -9.00    2.02   0.855   0.451   0.005   44.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2187.6  2285.0 22422222222229999922
       2       1      24      24   525.7  7.1963 34.4591   133.9 34.4572   137.7   23.51   30.27   -9.00    2.17   0.517   0.290  -9.000   41.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2201.6  2289.6 22422222222229999922
       2       1      23      23   646.1  5.7447 34.4177   149.2 34.4164   156.2   31.52   31.97   -9.00    2.25   0.338   0.268  -9.000   41.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2207.6  2294.2 22422222222229999922
       2       1      22      22   746.8  5.1176 34.4457   147.9 34.4441   148.1   44.21   33.66   -9.00    2.37   0.138   0.121  -9.000   41.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2224.4  2308.6 22422222222229999922
       2       1      21      21   847.1  4.6103 34.4729   145.0 34.4724   145.9   55.25   34.37   -9.00    2.43   0.081   0.107  -9.000   -9.00  -9.000  -9.000 -9.0000 -9.0000   -9.00   -9.00    -9.0    -9.0    -9.0  2236.8  2320.1 22422222222299999922
