EXPOCODE 31WTTUNES_2 WHP-ID P16S/P17S DATES 083191 TO 100191                20020416WHPOSIOSA
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSHHT  DELC14  C14ERR  DELC13    QUALT1
                            DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG    0/00    0/00    0/00         * 
                 *******                 ******* ******* ******* ******* ******* ******* *******         *******         *
     143       2      45  3122.1   1.65   34.681    -9.0   134.3    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     143       2      85  3122.6   1.65   34.681    -9.0   134.2    -9.0    -9.0   -9.00  -218.5     3.3    -0.3 229299922
     143       2      44  3380.   -9.000  -9.000    -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 259599999
     143       2      87  3380.5  -9.000  34.686    -9.0    -9.0    -9.0    -9.0   -9.00  -218.1     3.2    -0.1 229599922
     143       2      47  3634.1   1.55   34.687    -9.0   134.5    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     143       2      89  3634.6   1.55   34.687    -9.0   134.9    -9.0    -9.0   -9.00  -210.8     3.2    -0.2 229299922
     143       2      90  3883.7   1.56   34.689    -9.0   134.2    -9.0    -9.0   -9.00  -205.5     3.1    -0.1 229299922
     143       2      48  4079.1   1.548  34.689    -9.0   133.8    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     143       2      93  4079.6   1.548  34.69     -9.0   133.1    -9.0    -9.0   -9.00  -203.6     3.2    -0.2 229299922
     143       2      49  4260.3   1.546  34.69     -9.0   132.3    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     143       2      94  4260.8   1.546  34.691    -9.0   132.8    -9.0    -9.0   -9.00  -201.7     3.1    -0.1 229299922
     153       3      49     7.4  -9.000  36.45     -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229599999
     153       3      81     7.9  -9.000  36.426    -9.0    -9.0    -9.0    -9.0   -9.00   111.2     2.7     1.3 229599922
     153       3      41  1189.6   3.1    34.523    -9.0    80.7    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       3      83  1190.1   3.1    34.523    -9.0    80.5    -9.0    -9.0   -9.00  -169.8     3.      0.2 229299922
     153       3      42  1392.    2.94   34.558    -9.0    93.2    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       3      84  1392.5   2.94   34.558    -9.0    93.6    -9.0    -9.0   -9.00  -192.4     3.3    -0.2 229299922
     153       3      43  1594.4   2.5    34.59     -9.0   103.8    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       3      85  1594.9   2.5    34.59     -9.0   103.7    -9.0    -9.0   -9.00  -195.7     3.     -0.2 229299922
     153       3      45  1796.6   2.26   34.615    -9.0   111.8    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       3      87  1797.1   2.26   34.615    -9.0   111.0    -9.0    -9.0   -9.00  -197.9     3.7    -0.2 229299922
     153       3      44  1997.7   2.09   34.631    -9.0   116.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       3      89  1998.2   2.09   34.632    -9.0   115.9    -9.0    -9.0   -9.00  -202.6     3.4    -0.1 229299922
     153       3      47  2197.4   2.     34.644    -9.0   119.9    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       3      90  2197.9   2.     34.645    -9.0   119.7    -9.0    -9.0   -9.00  -216.      3.2    -0.2 229299922
     153       3      93  2396.5   1.9    34.656    -9.0   123.0    -9.0    -9.0   -9.00  -221.3     2.9     0.1 229299922
     153       3      48  2595.9   1.83   34.662    -9.0   125.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       3      94  2596.4   1.83   34.662    -9.0   124.9    -9.0    -9.0   -9.00  -220.1     3.1    -0.2 229299922
     153       1      41  2843.6   1.78   34.668    -9.0   126.     -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       1      81  2844.1   1.78   34.667    -9.0   126.3    -9.0    -9.0   -9.00  -214.4     3.2    -0.2 229299922
     153       1      42  3045.7   1.71   34.674    -9.0   126.7    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       1      83  3046.2   1.71   34.671    -9.0   127.6    -9.0    -9.0   -9.00  -207.7     3.     -0.1 229299922
     153       1      43  3247.8   1.64   34.67     -9.0   125.6    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 239299999
     153       1      84  3248.3   1.64   34.684    -9.0   125.5    -9.0    -9.0   -9.00  -205.2     2.9    -0.1 239299922
     153       1      45  3449.8   1.65   34.68     -9.0   129.5    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       1      85  3450.3   1.65   34.68     -9.0   129.3    -9.0    -9.0   -9.00  -207.9     3.2    -0.3 229299922
     153       1      44  3652.5   1.65   34.679    -9.0   129.6    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       1      87  3653.    1.65   34.679    -9.0   128.     -9.0    -9.0   -9.00  -208.2     2.9    -0.1 229299922
     153       1      47  3852.9   1.66   34.68     -9.0   129.5    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       1      89  3853.4   1.66   34.68     -9.0   129.3    -9.0    -9.0   -9.00  -211.7     3.2    -0.2 229299922
     153       1      90  4054.5   1.68   34.679    -9.0   129.4    -9.0    -9.0   -9.00  -212.8     2.9    -0.4 229299922
     153       1      48  4254.6   1.7    34.681    -9.0   129.1    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       1      93  4255.1   1.7    34.68     -9.0   129.5    -9.0    -9.0   -9.00  -208.5     3.1    -0.2 229299922
     153       1      49  4454.6   1.72   34.681    -9.0   129.4    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
     153       1      94  4455.1   1.72   34.68     -9.0   129.8    -9.0    -9.0   -9.00  -204.6     2.2     0.1 229299922
     166       4      49     4.   -9.000  35.549    -9.0    -9.0    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229599999
     166       4      81     4.5  -9.000  -9.000    -9.0    -9.0    -9.0    -9.0   -9.00   130.1     3.6     0.6 259599922
     166       1      47   448.9   8.76   34.46     -9.0     6.3    -9.0    -9.0   -9.00  -999.0    -9.0    -9.0 229299999
