EXPOCODE 31WTTUNES_2   WHP-ID P17S,P16S    CRUISE DATES 071691 - 082591 20040408WHPOSIOSA                                                                                                                                                                                              *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  TRITUM  DELHE3  HELIUM  DELC14  TCARBN  ALKALI    PCO2 PCO2TMP  TRITER  DELHER  HELIER  C14ERR  DELC13              QUALT1              QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG      TU  PERCNT NMOL/KG  /MILLE UMOL/KG UMOL/KG    UATM   DEG C      TU  PERCNT NMOL/KG  /MILLE  /MILLE                                       *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                                         *******                                       *
     124       1      19      19  1201.6  3.7745 34.5625    97.0  3.6837 34.5651    97.5   96.75   38.62    0.00    2.78  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2306.8    -9.0  1417.6   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      20      20  1392.4  3.2628 34.5805   105.7  3.1611 34.5837   108.0  107.12   37.99    0.00    2.70  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2313.5    -9.0  1355.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      21      21  1581.0  2.8591 34.6013   114.1  2.7461 34.6021   112.3  116.77   37.78    0.00    2.68  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2319.1    -9.0  1360.5   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      22      22  1780.0  2.5473 34.6187   115.4  2.4215 34.6204   113.8  126.51   37.78    0.00    2.82  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2329.9    -9.0  1348.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222239999992929 2222222239999992929
     124       1      23      23  1984.5  2.3224 34.6316   120.7  2.1824 34.6339   119.3  131.90   37.52    0.00    2.69  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2331.2    -9.0  1324.7   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      24      24  2183.4  2.1246 34.6428   123.6  1.9704 34.6462   121.4  138.34   37.47    0.00    2.64  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2335.5    -9.0  1298.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      25      25  2333.1  2.0007 34.6536   125.2  1.8354 34.6550   123.5  142.16   37.26    0.00    2.63  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2339.2    -9.0  1300.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      26      26  2486.9  1.8997 34.6595   127.9  1.7225 34.6617   127.3  144.35   37.10    0.01    2.63  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2340.7    -9.0  1273.5   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      27      27  2636.4  1.8298 34.6646   131.3  1.6402 34.6672   131.7  145.12   36.74    0.01    2.60  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2338.7    -9.0  1252.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      28      28  2787.9  1.7768 34.6698   137.4  1.5742 34.6709   135.6  145.68   36.53    0.00    2.54  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2334.6    -9.0  1224.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      29      29  2989.4  1.7119 34.6741   140.4  1.4914 34.6746   140.0  146.64   36.13    0.04    2.62  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2336.4    -9.0  1202.5   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222239999992929 2222222239999992929
     124       1      30      30  3185.2  1.6349 34.6768   146.3  1.3971 34.6792   147.3  144.94   35.81    0.00    2.61  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2330.6    -9.0  1153.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222239999992929 2222222239999992929
     124       1      31      31  3387.7  1.5640 34.6835   152.2  1.3076 34.6826   153.9  144.07   35.43    0.02    2.45  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2325.2    -9.0  1137.5   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      33      33  3691.7  1.4880 34.6883   157.5  1.2023 34.6861   157.9  145.24   35.45    0.00    2.54  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2325.9    -9.0  1091.4   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222239999992929 2222222239999992929
     124       1      32      32  3691.9  1.4880 34.6882   157.3  1.2023 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2229999999999995959 2229999999999995959
     124       1      34      34  3995.5  1.4480 34.6911   162.6  1.1311 34.6909   163.3  143.13   35.04    0.00    2.45  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0  2317.2    -9.0  1085.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999992929 2222222229999992929
     124       1      35      35  4304.7  1.4131 34.6957   170.6  1.0629 34.6944   171.7  138.59   34.52    0.00    2.38   0.014   0.000  -9.000 -999.00 -9.0000  -999.0  2307.1    -9.0  1076.8   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222223299992929 2222222223299992929
     124       1      36      36  4562.4  1.4320 34.6976   172.0  1.0519 34.6958   172.6  137.11   34.13    0.04    2.42   0.008   0.000  -9.000 -999.00 -9.0000  -999.0  2308.9    -9.0  1084.1   20.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222228299992929 2222222222299992929
     125       1       1       1     0.4 27.4609 35.2375    -9.0 27.4608 35.2410   214.1    2.54    4.98    0.09    0.55   1.656   0.955  -9.000 -999.00 -9.0000    79.5  2002.6    -9.0   302.2   20.00  -9.000   -9.00 -9.0000     4.0   -9.00 2292222222899922929 2292222222299922929
     125       1       2       2    51.8 27.4709 35.2379   208.8 27.4589 35.2422   213.3    2.44    4.98    0.09    0.54   1.645   0.953  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2262222222899999999 2262222222299999999
     125       1       3       3    77.8 27.4639 35.2396   212.1 27.4458 35.2432   211.5    2.44    4.98    0.09    0.55   1.638   0.973  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2262222222299999999 2262222222299999999
     125       1       4       4    97.8 27.3999 35.2726   200.1 27.3772 35.2769   216.3    2.44    4.98    0.09    0.55   1.675   0.961  -9.000 -999.00 -9.0000    78.3    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     4.0    1.33 2262222222299929992 2262222222299929992
     125       1       5       5   114.0 26.0655 35.9838   191.2 26.0400 35.9760   195.1    1.95    3.32    0.21    0.62   1.755   1.013  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222299999999 2222222222299999999
     125       1       6       6   128.4 24.4242 36.1113   187.7 24.3967 36.0956   181.6    1.95    2.54    2.66    0.64   1.820   1.068  -9.000 -999.00 -9.0000    77.5    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     4.1    1.38 2222222222899929992 2222222222299929992
     125       1       7       7   155.1 20.3657 35.8040   161.6 20.3366 35.8307   161.1    1.95    7.23    0.22    0.76   1.918   1.055  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222899999999 2222222222299999999
     125       1       8       8   180.2 16.2219 35.2813   101.1 16.1931 35.2318    76.7    8.89   18.66    0.04    1.60   1.205   0.732  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222222299999999 2222222222299999999
     125       1       9       9   206.9 13.6244 34.9699     2.6 13.5950 34.9701     2.4   22.08   25.21    0.04    2.41   0.489   0.284  -9.000 -999.00 -9.0000    -2.1    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     4.8   -0.08 2222222222299929993 2222222222299929993
     125       1      10      10   267.7 11.7419 34.8611    24.5 11.7074 34.8580    24.6   25.02   31.66    0.00    2.32   0.153   0.103  -9.000 -999.00 -9.0000   -35.7    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     4.8    0.18 2222222222299929992 2222222222299929992
     125       1      11      11   307.9 11.1131 34.8193    25.4 11.0748 34.8195    24.6   27.66   32.74    0.01    2.37   0.103   0.070  -9.000 -999.00 -9.0000   -51.2    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     7.3    0.09 2222222222299929992 2222222222299929992
     125       1      12      12   368.5 10.1704 34.7582    18.2 10.1269 34.7583    18.3   32.35   35.09    0.05    2.56   0.042   0.037  -9.000 -999.00 -9.0000   -69.2    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     3.7    0.10 2222222222299929992 2222222222299929992
     125       1      13      13   430.7  9.3107 34.7046    20.6  9.2625 34.7031    32.1   34.11   35.97    0.00    2.56   0.027   0.025  -9.000 -999.00 -9.0000   -84.3    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     4.6    0.13 2222222222299929992 2222222222299929992
     125       1      14      14   492.1  8.4551 34.6518    43.7  8.4029 34.6506    41.3   37.53   37.14    0.03    2.63   0.016   0.010  -9.000 -999.00 -9.0000  -105.8    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     5.3   -9.00 2222222222299929999 2222222222299929999
     125       1      15      15   552.5  7.6864 34.6073    67.1  7.6308 34.6057    63.3   39.29   36.75    0.01    2.58   0.013   0.017  -9.000 -999.00 -9.0000   -80.9    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     3.8    0.34 2222222222399949992 2222222222399949992
     125       1      16      16   613.9  7.1327 34.5773    74.0  7.0732 34.5776    73.4   42.03   37.05    0.00    2.59   0.011   0.007  -9.000 -999.00 -9.0000  -114.4    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     5.2    0.35 2222222222299929992 2222222222299929992
     125       1      17      17   734.6  6.1372 34.5466    63.3  6.0710 34.5491    70.4   54.06   39.39    0.02    2.78   0.003   0.004  -9.000 -999.00 -9.0000  -143.3    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     4.0   -9.00 2222222222299929999 2222222222299929999
     125       1      18      18   918.5  4.8959 34.5345    89.1  4.8206 34.5361    89.2   71.85   39.00    0.01    2.78  -9.000  -9.000  -9.000 -999.00 -9.0000  -171.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000     9.0    0.14 2222222225599929992 2222222225599929992
     125       1      19      19  1121.3  4.0943 34.5564    95.5  4.0076 34.5558    93.2   90.42   39.20    0.00    2.82  -9.000  -9.000  -9.000 -999.00 -9.0000  -204.7    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000    10.2    0.08 2222222229999939992 2222222229999939992
     125       1      20      20  1326.3  3.5087 34.5722   104.6  3.4099 34.5754   104.0  101.95   38.51    0.00    2.76  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      21      21  1529.7  3.0919 34.5914   107.9  2.9805 34.5913   107.1  112.12   38.51    0.00    2.76  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      22      22  1736.5  2.6462 34.6164   107.2  2.5228 34.6173   106.1  126.88   38.81    0.00    2.79  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      23      23  1941.4  2.3504 34.6327   113.7  2.2137 34.6348   115.0  133.42   37.63    0.01    2.72  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      24      24  2147.9  2.1276 34.6457   122.6  1.9765 34.6470   123.1  136.94   37.53    0.01    2.67  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      25      25  2354.7  1.9867 34.6569   126.1  1.8197 34.6582   126.3  141.44   37.44    0.00    2.64  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      26      26  2562.1  1.8628 34.6669   133.1  1.6793 34.6662   134.5  142.02   36.75    0.01    2.58  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
     125       1      27      27  2769.7  1.7818 34.6729   138.0  1.5808 34.6731   138.2  144.56   36.65    0.01    2.56  -9.000  -9.000  -9.000 -999.00 -9.0000  -999.0    -9.0    -9.0    -9.0   -9.00  -9.000   -9.00 -9.0000  -999.0   -9.00 2222222229999999999 2222222229999999999
