EXPOCODE 316N145_5 WHP-ID I08S, I09S  DATES 120194-011995              20090518CCHDOSIODM                                                                                                                                                                                                      *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  TRITUM  HELIUM  DELC14  TCARBN  ALKALI  C14ERR  DELC13  DELHE3  DELHER  HELIER    NEON  NEONER  TRITER              QUALT1              QUALT2
                                            DBAR IPTS-68  PSS-78 UMOL/KG IPTS-68  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG      TU NMOL/KG  /MILLE UMOL/KG UMOL/KG  /MILLE  /MILLE  PERCNT  PERCNT NMOL/KG NMOL/KG NMOL/KG      TU                                       *
                         *******                         ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         ******* *******                 *******                                                       *
       4       1      18  SIH002 11078.4  1109.0  4.3083 34.4342   173.2  4.2210 34.4383   171.2   50.45   32.20    0.00    2.30   0.200   0.105   0.093  1.8260  -113.9  2222.3  2316.9     3.7    0.74    6.15    0.12  0.0020   7.876   0.024   0.004 2222222226622262222 2222222226622262222
       4       1      17  SIH020 12085.8  1210.4  3.9723 34.4938   156.1  3.8792 34.4948   153.7   64.68   33.72    0.00    2.42   0.071   0.040   0.270  1.9010  -134.4  2244.8  2340.6     4.2    0.54    7.20    0.12  0.0020   8.050   0.034   0.006 2222222222242222222 2222222222242222222
       4       1      16  SIH021 13079.1  1310.3  3.6814 34.5306   149.7  3.5824 34.5319   148.8   72.41   34.24    0.00    2.45   0.033   0.020  -9.000 -9.0000  -999.0    -9.0    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255999999 2222222222255999999
       4       1      15  SIH022 13082.0  1310.6  3.6811 34.5312   149.7  3.5820 34.5315   148.6   72.42   34.24    0.00    2.46   0.021   0.025  -0.019  1.8430  -143.9  2255.3    -9.0     3.0    0.47    9.18    0.12  0.0020   7.883   0.045   0.003 2222222222242269222 2222222222242269222
       4       1      13  SIH024 14079.0  1410.9  3.5063 34.5669   147.4  3.4004 34.5661   146.3   78.59   34.48    0.00    2.48   0.029   0.014   0.144  1.9200  -161.2    -9.0    -9.0     3.0    0.40    9.67    0.12  0.0020   8.162   0.023   0.005 2222222222242299222 2222222222242299222
       4       1      14  SIH023 14087.9  1411.7  3.5063 34.5668   147.4  3.4004 34.5663   144.6   78.76   34.48    0.00    2.48   0.014   0.012  -9.000 -9.0000  -999.0  2263.9  2361.1    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222222255962999 2222222222255962999
       4       1      11  SIH026 15092.2  1512.8  3.3122 34.5946   145.9  3.1996 34.5952   144.6   83.06   34.54    0.00    2.47   0.018   0.003   0.182  1.8680  -169.8    -9.0  2357.4     2.4    0.35   10.55    0.12  0.0020   8.005   0.024   0.007 2222222223242292222 2222222223242292222
       4       1      12  SIH003 15100.1  1513.6  3.3128 34.5942   145.9  3.2002 34.5952   145.1   83.05   34.43    0.00    2.48   0.042   0.038  -9.000 -9.0000  -999.0  2267.7  2348.9    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222224455962999 2222222224455962999
       4       1      10  SIH027 16096.6  1613.8  3.1207 34.6163   146.8  3.0017 34.6166   146.9   86.32   34.32    0.00    2.46   0.016   0.009  -9.000 -9.0000  -999.0    -9.0  2360.8    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222223355992999 2222222223355992999
       4       1       9  SIH028 16097.9  1613.9  3.1210 34.6158   146.8  3.0020 34.6164   146.2   86.32   34.20    0.00    2.46   0.576   0.621   0.135  2.0790  -171.5  2270.5  2365.6     4.0    0.35    8.02    0.12  0.0020   8.514   0.044   0.005 2222222224444262234 2222222224444262234
       4       1       7  SIH030 17123.5  1717.1  2.9721 34.6415   148.6  2.8460 34.6423   148.4   90.10   33.92    0.00    2.45   0.010   0.007   0.199  2.1190  -167.6  2274.1  2361.5     2.8    0.33    9.07    0.12  0.0020   8.731   0.038   0.006 2222222223344222234 2222222223344222234
       4       1       8  SIH029 17208.7  1725.7  2.9716 34.6376   148.6  2.8448 34.6435    -9.0   89.93   33.98    0.00    2.44  -9.000  -9.000  -9.000 -9.0000  -999.0    -9.0    -9.0    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 3222922229955999999 2222922229955999999
       4       1       6  SIH031 18122.5  1817.6  2.8251 34.6599   151.7  2.6922 34.6602   152.3   92.16   33.63    0.00    2.41   0.001   0.006  -9.000 -9.0000  -999.0  2274.0  2373.4    -9.0    -9.0 -999.00 -999.00 -9.0000  -9.000  -9.000  -9.000 2222222223255922999 2222222223255922999
