EXPOCODE 33RO200501 WHP-ID A16S CRUISE DATES 011105 - 022405 20110831CCHDOSIOCBG                                                                                                                                                                                                                                          *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  SALNTY  CTDOXY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  CFC113    CCL4  TCARBN  ALKALI    PCO2 PCO2TMP  PH_SWS  PH_TMP     DOC  DELC14  C14ERR  DELC13 CDOM325 CDOM340 CDOM380 CDOM412  CDOMSL  CDOMSN   THETA                     QUALT1
                                    DBAR    DBAR  ITS-90  PSS-78  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG PMOL/KG PMOL/KG UMOL/KG UMOL/KG    UATM   DEG C           DEG C UMOL/KG  /MILLE  /MILLE  /MILLE     1/M     1/M     1/M     1/M    1/NM    1/NM   DEG C                          *
                         *******                         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******         *******         ******* *******         ******* ******* ******* ******* ******* ******* *******                                  *
       1       1      12      12 1799.00  1799.0  0.0119 34.6700 34.6684   223.3    -9.0  122.80   32.49    0.00    2.40  -9.000  -9.000  -9.000  -9.000    -9.0  2351.5    -9.0   20.00  7.5977   25.00   39.84  -153.0     3.1    0.65 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.0802 22229222499999296222999999
       1       1       7       7 2198.50  2198.5 -0.0608 34.6667 -9.0000   227.0   226.6   -9.00   -9.00   -9.00   -9.00   0.675   0.327   0.020   0.746    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.1796 22922999922239999999999999
       1       1       9       9 2198.70  2198.7 -0.0606 34.6667 34.6658   227.0    -9.0  122.73   32.40    0.00    2.40  -9.000  -9.000  -9.000  -9.000    -9.0  2351.9    -9.0   20.00  7.5959   25.00   39.19  -154.5     3.0    0.64 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.1794 22229222499999296222999999
       1       1       8       8 2198.80  2198.8 -0.0607 34.6667 34.6656   227.0    -9.0  122.13   32.38    0.00    2.41  -9.000  -9.000  -9.000  -9.000  2259.2    -9.0  1106.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.1796 22229222499992929999999999
       1       1       5       5 2600.20  2600.2 -0.1046 34.6642 -9.0000   229.8   229.3  123.91   32.34    0.01    2.37   0.740   0.366   0.019   0.780  2258.8    -9.0  1105.5   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2529 22922666422232929999999999
       1       1       4       4 2600.50  2600.5 -0.1047 34.6641 -9.0000   230.0    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2530 92929999999999999999999999
       1       1       6       6 2600.80  2600.8 -0.1048 34.6641 34.6652   230.0    -9.0  123.62   32.34    0.00    2.41  -9.000  -9.000  -9.000  -9.000    -9.0  2351.4    -9.0   20.00  7.5953   25.00   38.93  -162.2     3.6    0.62 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2532 22229666499999296222999999
       1       1       3       3 2950.10  2950.1 -0.1224 34.6625 34.6616   232.1    -9.0  122.87   32.27    0.01    2.40  -9.000  -9.000  -9.000  -9.000    -9.0  2352.2    -9.0   20.00  7.5975   25.00   38.94  -166.8     3.4    0.66 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2988 22229666499999296222999999
       1       1       2       2 2950.20  2950.2 -0.1224 34.6625 34.6630   232.1    -9.0  123.01   32.28    0.01    2.40  -9.000  -9.000  -9.000  -9.000  2256.9    -9.0  1098.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2987 22229666499996929999999999
       1       1       1       1 2950.20  2950.2 -0.1222 34.6623 -9.0000   232.0   232.1   -9.00   -9.00   -9.00   -9.00   0.840   0.419   0.026   0.868    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2985 22922999966669999999999999
       1       2      22      22    0.40     0.4  0.0473 32.9826 -9.0000   361.0   354.1   -9.00   -9.00   -9.00   -9.00   6.367   3.434   0.600   6.851    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.0473 22922999922249999999999999
       1       2      24      24    0.50     0.5  0.0547 33.0139 33.0186   360.1    -9.0   70.71   22.46    0.19    2.00  -9.000  -9.000  -9.000  -9.000    -9.0  2240.7    -9.0   20.00  7.7427   25.00   47.88  -118.9     4.2    1.49 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.0547 22229222499999492222999999
       1       2      23      23    0.50     0.5  0.0481 32.9747 -9.0000   339.6    -9.0   70.79   22.44    0.19    2.01  -9.000  -9.000  -9.000  -9.000  2105.1    -9.0   727.6   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.0481 22929222499996929999999999
       1       2      21      21   48.80    48.8 -1.4768 34.0664 -9.0000   327.1    -9.0   76.62   27.52    0.10    2.29  -9.000  -9.000  -9.000  -9.000    -9.0  2308.6    -9.0   20.00  7.6736   25.00   45.02  -135.5     3.3    1.03 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -1.4779 22929222499999292222999999
       1       2      20      20   48.80    48.8 -1.4768 34.0666 34.0638   327.1    -9.0   76.56   27.51    0.10    2.30  -9.000  -9.000  -9.000  -9.000  2193.2    -9.0   901.5   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -1.4778 22229222499992929999999999
       1       2      19      19   49.00    49.0 -1.4763 34.0654 -9.0000   329.2   328.9   -9.00   -9.00   -9.00   -9.00   5.369   2.823   0.507   5.262    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -1.4774 22922999922249999999999999
       1       2      18      18   98.90    98.9 -1.2100 34.2869 34.2767   294.4    -9.0   81.22   30.10    0.12    2.41  -9.000  -9.000  -9.000  -9.000    -9.0  2322.1    -9.0   20.00  7.6282   25.00   43.79  -138.2     3.5    0.90 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -1.2125 22229222499999292222999999
       1       2      17      17   98.90    98.9 -1.2182 34.2851 -9.0000   294.4    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -1.2207 92929999999999999999999999
       1       2      16      16   98.90    98.9 -1.2284 34.2815 -9.0000   295.4   294.6   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -1.2308 22922999955559999999999999
       1       2      15      15  198.70   198.7 -0.2693 34.5371 34.5379   244.5    -9.0   93.25   31.79    0.02    2.46  -9.000  -9.000  -9.000  -9.000    -9.0  2335.3    -9.0   20.00  7.5981   25.00   42.16  -143.6     3.4    0.67 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2762 22229222499999296222999999
       1       2      13      13  198.70   198.7 -0.2676 34.5376 -9.0000   244.4   243.7   -9.00   -9.00   -9.00   -9.00   2.586   1.345   0.208   2.404    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2745 22922999922239999999999999
       1       2      14      14  198.80   198.8 -0.2679 34.5375 34.5375   244.5    -9.0   92.89   31.78    0.02    2.47  -9.000  -9.000  -9.000  -9.000  2245.5    -9.0  1088.4   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2747 22229222499992929999999999
       1       2      10      10  298.60   298.6  0.1963 34.6246 -9.0000   222.6   221.1   -9.00   -9.00   -9.00   -9.00   1.537   0.785   0.119   1.482    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.1845 22922999922239999999999999
       1       2      11      11  298.70   298.7  0.1961 34.6246 34.6237   222.5    -9.0  100.71   32.14    0.01    2.46  -9.000  -9.000  -9.000  -9.000  2255.2    -9.0  1117.1   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.1843 22229222499992929999999999
       1       2      12      12  298.90   298.9  0.1959 34.6245 34.6347   222.5    -9.0  101.00   32.16    0.02    2.47  -9.000  -9.000  -9.000  -9.000    -9.0  2341.9    -9.0   20.00  7.5810   25.00   41.86  -153.7     3.2    0.59 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.1841 22229222499999296222999999
       1       2       8       8  398.10   398.1  0.4186 34.6592 34.6590   211.8    -9.0  105.96   32.26    0.01    2.48  -9.000  -9.000  -9.000  -9.000  2259.6    -9.0  1120.2   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4017 22229222499992929999999999
       1       2       9       9  398.20   398.2  0.4186 34.6591 34.6589   211.8    -9.0  105.74   32.23    0.01    2.48  -9.000  -9.000  -9.000  -9.000    -9.0  2346.6    -9.0   20.00  7.5892   25.00   40.49  -153.7     3.2    0.61 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4018 22229222499999296222999999
       1       2       7       7  398.30   398.3  0.4185 34.6591 -9.0000   211.9   211.6  105.84   32.28    0.01    2.50   1.022   0.519   0.066   1.002    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4017 22922222422239999999999999
       1       2       4       4  498.50   498.5  0.4680 34.6722 -9.0000   207.1   207.6   -9.00   -9.00   -9.00   -9.00   0.770   0.395   0.044   0.827    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4462 22922999922239999999999999
       1       2       5       5  498.60   498.6  0.4675 34.6722 34.6722   207.0    -9.0  109.77   32.47    0.01    2.51  -9.000  -9.000  -9.000  -9.000  2262.7    -9.0  1126.8   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4458 22229222499992929999999999
       1       2       6       6  498.80   498.8  0.4676 34.6722 34.6730   207.0    -9.0  109.66   32.45    0.01    2.51  -9.000  -9.000  -9.000  -9.000    -9.0  2347.2    -9.0   20.00  7.5859   25.00   39.76  -151.7     3.2    0.53 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4458 22229222499999296222999999
       1       2       1       1  600.90   600.9  0.4668 34.6793 -9.0000   207.9   207.5   -9.00   -9.00   -9.00   -9.00   0.599   0.304   0.016   0.637    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4400 22922999922239999999999999
       1       2       3       3  601.00   601.0  0.4663 34.6793 34.6792   207.5    -9.0  113.03   32.54    0.01    2.50  -9.000  -9.000  -9.000  -9.000    -9.0  2350.6    -9.0   20.00  7.5849   25.00   38.77  -153.3     3.3    0.57 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4396 22229222499999292222999999
       1       2       2       2  601.30   601.3  0.4663 34.6793 34.6824   208.5    -9.0  112.97   32.53    0.01    2.51  -9.000  -9.000  -9.000  -9.000  2263.5    -9.0  1125.1   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4395 22229222499992929999999999
       2       1      23      23    1.30     1.3  0.3900 33.0659 33.0663   352.1   351.4   68.23   21.43    0.18    1.82   6.381   3.412   0.589   7.167    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.3900 22222222422249999999999999
       2       1      24      24    1.60     1.6  0.3905 33.0662 33.0670   352.1   352.1   68.14   21.44    0.18    1.82  -9.000  -9.000  -9.000  -9.000  2099.9  2243.9    -9.0   20.00  7.7576   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.3904 22222222499992492999999999
       2       1      22      22   48.30    48.3 -1.3086 33.9334 -9.0000   356.6   356.2   74.99   25.02    0.06    1.99   5.784   3.060   0.518   5.817    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -1.3097 22922222422249999999999999
       2       1      21      21   98.60    98.6 -1.2010 34.2127 34.2098   301.0   300.6   79.62   30.07    0.13    2.21   4.861   2.541   0.432   4.809    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -1.2035 22222222422239999999999999
       2       1      20      20  149.30   149.3 -0.6007 34.4233 34.4272   264.6   264.8   86.65   31.58    0.04    2.27   3.533   1.851   0.309   3.499    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.6053 22222222422239999999999999
       2       1      19      19  198.20   198.2 -0.2664 34.5167 34.5166   248.8   247.6   90.77   31.92    0.02    2.28   2.782   1.457   0.242   2.709    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2732 22222222422239999999999999
       2       1      18      18  298.20   298.2  0.1518 34.6118 34.6123   223.1   223.1   99.41   32.23    0.02    2.29   1.684   0.861   0.140   1.742    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.1402 22222222422239999999999999
       2       1      17      17  399.50   399.5  0.3586 34.6512 34.6520   211.2   211.0  105.42   32.47    0.03    2.31  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.3419 22222222499999999999999999
       2       1      16      16  498.80   498.8  0.4657 34.6711 34.6703   208.0   208.6  109.62   32.52    0.01    2.31   0.782   0.403   0.030   0.870    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4439 22222222422239999999999999
       2       1      15      15  598.20   598.2  0.4645 34.6771 34.6766   207.5   207.2  112.55   32.61    0.01    2.27  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4379 22222222499999999999999999
       2       1      14      14  700.00   700.0  0.4469 34.6798 34.6804   208.1   207.8  114.37   32.64    0.00    2.30  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.4153 22222222499999999999999999
       2       1      13      13  798.20   798.2  0.4085 34.6795 -9.0000   209.3   208.9  115.52   32.65    0.00    2.31   0.550   0.276   0.042   0.672  2261.4  2350.2    -9.0   20.00  7.5782   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.3719 22922222422232292999999999
       2       1      12      12  798.50   798.5  0.4086 34.6794 34.6798   209.3   208.4  115.46   32.68    0.00    2.31  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.3720 22222222499999999999999999
       2       1      11      11  899.60   899.6  0.3545 34.6793 34.6790   210.3   210.1  116.79   32.69    0.00    2.30  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.3129 22222222499999999999999999
       2       1       9       9  997.90   997.9  0.3173 34.6788 34.6771   211.4   210.7  117.51   32.64    0.00    2.30  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.2706 22222222499999999999999999
       2       1      10      10  998.00   998.0  0.3178 34.6788 -9.0000   211.4   205.3   -9.00   -9.00   -9.00   -9.00   0.417   0.219   0.001   0.447  2262.5  2352.3    -9.0   20.00  7.5833   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.2711 22923999922232292999999999
       2       1       8       8 1198.20  1198.2  0.2315 34.6767 34.6767   213.9   214.2  118.52   32.63    0.00    2.27  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.1742 22222222499999999999999999
       2       1       7       7 1499.00  1499.0  0.1148 34.6727 34.6709   218.3   218.3  119.31   32.59    0.00    2.27   0.504   0.255   0.014   0.656    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000  0.0406 22222222422239999999999999
       2       1       6       6 1799.90  1799.9  0.0174 34.6690 34.6727   222.9   223.2  119.59   32.50    0.00    2.25  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.0749 22222222499999999999999999
       2       1       5       5 2201.00  2201.0 -0.0641 34.6654 34.6682   226.6   226.7  123.06   32.48    0.00    2.32  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.1831 22222666499999999999999999
       2       1       3       3 2599.20  2599.2 -0.0986 34.6632 34.6637   229.1   228.8  123.75   32.46    0.00    2.32  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2470 22222666499999999999999999
       2       1       4       4 2599.50  2599.5 -0.0993 34.6631 -9.0000   229.1   228.9   -9.00   -9.00   -9.00   -9.00   0.719   0.356   0.035   0.833  2257.5    -9.0    -9.0   20.00  7.5997   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.2476 22922999922232592999999999
       2       1       2       2 3099.60  3099.6 -0.1368 34.6607 34.6583   233.6   232.8  122.26   32.30    0.00    2.32  -9.000  -9.000  -9.000  -9.000    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.3256 22322666499999999999999999
       2       1       1       1 3716.50  3716.5 -0.1576 34.6579 34.6595   237.1   236.8  119.29   32.24    0.00    2.35   1.038   0.548   0.069   1.104    -9.0    -9.0    -9.0   20.00 -9.0000   25.00   -9.00  -999.0    -9.0   -9.00 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -9.0000 -0.4016 22222666422239999999999999
